Title,Lyrics,Source File
Krokodil,"I need to bite Sweet Krokodil-dil-dil-dil Never had guts for much Never had fun Never was much for lives But you're mine by the sharp Of my fucking teeth I need to bite Sweet Krokodil-dil-dil-dil I need to bite Sweet Krokodil-dil-dil-dil Shut up so I can think Damn nerves, damn everything Never was much for love But you're mine, by the shine Of my bloody teeth I need to bite Sweet Krokodil-dil-dil-dil I need to bite Sweet Krokodil-dil-dil-dil And when it starts to sting Don't worry, gotta be clean Never was much for sing But you're mine, by the sharp Of my fucking teeth I need to bite Sweet Krokodil-dil-dil-dil I need to bite Sweet Krokodil-dil-dil-dil Oh",Lyrics_KrokodilSingle.json
Grot,Power doesn't care what you want Power just wants to watch And power doesn't care what you need As long as you're on your knees Power pigs Power pigs Power kills Power wills Power doesn't care what you think Power just wants a little piece And power doesn't care how you feel As long as you learn how to kneel,Lyrics_KrokodilSingle.json
Pay Your Way in Pain,"Oh-oh-oh You got to pay your way in pain You got to pray your way in shame I went to the store, I was feelin' kinda hungry But I didn't have the money and the shelves were all empty So I went to the bank to ch-ch-ch-check my checking The man looked at my face, said, ""We don't have a record"" Oh no, you thought we had forgotten? The show is only gettin' started The road is feelin' like a pothole Sit down, stand up, head down, hands up, and Pay your way in pain You got to pray your way in shame Do you know what I want? You know what I want You know what I want Keep the rest, baby, ah, ah I wanna be loved Pay, pain Pray, shame So I went to the park just to watch the little children The mothers saw my heels and they said I wasn't welcome So I, I went back home, I was feelin' kinda queasy But all the locks were changed, my baby wouldn't see me Oh no, you've put your finger on it The stove is only gettin' hotter The sun, it's gotta, gotta melt it Stand up, sit down, hands up, break down You know what I want I wanna be loved I wanna be loved",Lyrics_DaddysHome.json
Down and Out Downtown,"Last night's heels On the mornin' train It's a long way back downtown Ten missed calls They don't know where you are It's a long way back downtown Hey, I was flyin' Over the Empire State Then you kissed me And I crashed again When'd it start? This feeling so wrong When you're down and out downtown Bowery John Forgotten, but not gone Prayin' at St. Ann's Bodega roses in my hands Down and out downtown And the joker with that funny laugh Is diggin' through the basement of my past It's a long way back down Down and out downtown Hey, I was flyin' Over the Empire State Then you kissed me And I crashed again Ooh-ooh-ooh",Lyrics_DaddysHome.json
Daddy’s Home,"I signed autographs in the visitation room Waitin' for you the last time, inmate 502 Daddy's home You still got it in your government green suit And I look down and out in my fine Italian shoes And we're tight as a Bible with the pages stuck like glue Yeah, you did some time, well, I did some time, too Daddy's home Ow Ow Ow Daddy's home, daddy's home, daddy's home Daddy's home, daddy's home, daddy's home, daddy's home Well, all good Puritans, they'll pray about reform You swore you had paid your dues, then put a PayDay into your uniform We're all born innocent, but some good saints get scrеwed Well, hell, whеre can you run when the outlaw's inside you? Ow Daddy's home Daddy's home Yeah Daddy's home",Lyrics_DaddysHome.json
Live in the Dream,"Hello Do you know where you are? You've been out cold We almost called the cops Don't get up Can you count to ten? Oh, boy, you're so lucky we found you when we did 'Cause there's a lot of people here who wanna do you harm But stay with me, you fallen lamb And I'll keep you in my arms But I can't live in the dream The dream lives in me Welcome, child You're free of the cage Tryin' to seem sane makes you seem so strange You look tired Go on, rest your head Oh, girl, you're so lucky we found you when we did 'Cause there's a lot of people here who wanna do you harm But stay with me, you fallen lamb And I'll keep you in my arms But I can't live in the dream The dream lives in me Oh, I can't live in the dream The dream lives in me",Lyrics_DaddysHome.json
The Melting of the Sun,"So sorry, missed the party Hello, on the dark side of the moon Jane lost it, crashed her Corvette Ran into the tide in Malibu And we all heard the gun But I was slow to run It's just the melting of the sun I wanna watch you watch it burn Saint Joni ain't no phony Smoking Reds where Furry sang the blues My Marilyn shot her heroin ""Hell,"" she said, ""It's better than abuse"" So who am I tryna be? A benzo beauty queen? It's just the melting of the sun I wanna watch you watch it burn We always knew this day would come It's just the melting of the sun Brave Tori told her story Police said they couldn't catch the man And proud Nina got subpoenaed Singing, ""Mississippi, good goddamn"" But me, I never cried To tell the truth, I lied Girl, the world's spinning 'round Spinning down and out of time Girl, you can't give in now When you're down, down and out Girl, the world's spinning 'round Spinning down and out of time Girl, you can't give in now When you're down, down and out",Lyrics_DaddysHome.json
Humming (Interlude 1),"Listenin' in the kitchen My mother fixin' Something missin' And all the while, she's hummin'",Lyrics_DaddysHome.json
The Laughing Man,"9-1-1 I'm in love I can hear the angels weepin' So why do I feel like sleepin'? Little birds, little birds Chirp, chirp, chirp Singin' like the day is perfect But to me, they sound psychotic I know you're gone, you left the scene Heaven had more important things But I can't sleep I know you know exactly what I mean If life's a joke, then I'm dyin' laughin' Brown liquor Why? Not sure Like the heroines of Cassavetes I'm underneath the influence daily Remember when We were kids? Best of friends All grass stains and chicken dinners Menthol mouths and secret stitches Half-pipes and PlayStations Suicidal ideation I know you're gone, you dropped the scene Left all of your guitars to me But I can't play I know you know exactly what I'm sayin' If life's a joke, then I'm dyin' laughin'",Lyrics_DaddysHome.json
Down,"You've hit me one time Imagine my surprise When you hit me two times You got yourself a fight I was a patsy You were a creep from the cheap seats Thinking that my little scratch was like your big victory See? But I'll take you down, uh-huh Tell me who hurt you No, wait, I don't care to Hear an excuse why you think you can be cruel Mama always told me ""You got to turn the other cheek"" But even she would agree, you're an exception to that rule I'll take you Yeah, I'll take you I'll take you I'll take you down I'll take you down Go get your own shit, get off of my tit Go face your demons, check into treatment Go flee the country, go blame your daddy Just get far away from me 'Cause I'll take you down 'Cause I'll take you down Go tell your friends Go tell your friends you're down Run to your friends If you got any left, you're down Oh-oh-oh, run to your friends Yeah, go tell your friends you're down Oh-oh-oh, run to your friends Ooh, if you got any left, you're down",Lyrics_DaddysHome.json
