Title,Lyrics
El Infierno Está Cerca,"[Letra de ""El Infierno Está Cerca""]

[Verso 1]
Copa vacía lata con caléndulas
Vela quemada, foto clavada en la pared
Letras, registros y joyas sobre el suelo
Signos de vida, el principio, el principio
El principio otra vez

[Coro]
Desnuda
Y tus promesas cálidas
Desnuda
Quería todo bajo el cielo

[Verso 2]
Humo de un cigarrillo del Nowhere Inn
Vaso de agua con mancha de labial
Caja de clavos y espíritu santo
Deja el resto pero vuelve por caléndulas
El principio, el principio
El principio otra vez

[Coro]
Desnuda
Y tus promesas cálidas
Desnuda
Quería todo bajo el cielo

[Outro]
Regálalo todo, rеgálalo todo
Por el mundo entero
Rеgálalo todo, regálalo todo
Por el mundo entero
Regálalo todo, regálalo todo
Por el mundo entero
Regálalo todo, regálalo todo
Por el mundo entero"
Salvaje,"[Letra de ""Salvaje""]

[Verso 1]
Te miré toda la noche, llegó el amanecer
Y los ángeles bajaron y te besaron
Salvaje
El olor de tu pelo en las cortinas
El viento arrasó las ventanas
Salvaje, salvaje

[Verso 2]
Y cada parte de ti ahora está dentro de mí
No hay vuelta atrás, te respiro
Salvaje, salvaje, salvaje
El sol de Londres, el aire, un tiro
Me estoy desmoronando, desmoronando, madre
Salvaje, salvaje, salvaje

[Puente]
Y he еstado de luto por ti desde quе te conocí

[Verso 3]
Extraño, ven a mi camino, te comeré
Te haré pedazos o me enamoraré
Salvaje, salvaje, salvaje
Si tu amor fuera una ancla, estoy perdida en el mar
Escucho a las sirenas llamando por mí

[Outro]
Llamándome a mí, llamándome a mí
Llamándome a mí, llamándome a mí
Llamándome a mí, llamándome a mí
Llamándome a mí, llamándome a mí"
Hombre Roto,"[Letra de ""Hombre Roto""]

[Verse 1]
En la calle soy un gran asesino
Puedo hacer caer tu reino
De pie soy terremoto temblando
Ábrete, mi pequeño

[Coro]
¿Qué estás mirando? (Ah)
¿Quién crees que soy? (Ah)
¿Y qué estás mirando? (Ah)
¿Has visto un hombre roto?

[Verso 2]
Amor, clávate a mí
Si te vas, no estaré bien
Aquí estoy, con mis brazos abiertos
Pero tú tienes que clavar el clavo

[Coro]
¿Qué estás mirando?
¿Quién crees que soy?
¿Y qué estás mirando?
¿Has visto un hombre roto?

[Puente]
¿Y cómo me ves ahora? (Ah)
Me rompiste en pedacitos (Ah)
¿Y cómo me ves ahora? (Ah)
Si ya no me vuelvo loca
Si no me vuelvo loca

[Coro]
¿Quién crees que soy?
¿Has visto un hombre roto?
¿Has visto un hombre roto?
¿Has visto un hombre roto?
Hey, hey, hey
¿Quién crees que soy? (Amor, clávate a mí)
¿Has visto un hombre roto? (Si te vas, no estaré bien)
¿Quién crees que soy? (Aquí estoy, con mis brazos abiertos)
¿Has visto un hombre roto? (Pero tú tienes que clavar el clavo)

[Outro]
¿Qué estás mirando?
¿Qué estás mirando?
¿Qué estás mirando?
Hey, hey, hey
¿Qué estás mirando?
¿Qué estás mirando?
¿Qué estás mirando?
Hey, hey, hey"
Pulga,"[Letra de ""Pulga""]

[Verso 1]
Soy una pequeña pulga ya
Saltando sobre un cuerpo cálido
Empiezas a picar, rascar, gritar
Ya dentro no te librarás de mí
Ya dentro no te librarás de mí

[Coro]
Te daré diamantes, te ahogo con crema
Serás mío para eternidad
El pelo, mis tijeras, caen en tus pies
Serás mío para eternidad

[Verso 2]
Pasando por una calle soleada (Lo tengo)
Pensando en tus cuentas o en qué comer (Lo tengo, oh, lo tengo)
Sentirás el pinchazo de mí (Lo tengo, oh, lo tengo)
Te miro y solo veo carne

[Coro]
Te daré diamantes, te ahogo con crema
Serás mío para eternidad
Te daré porcelana, leche para tu té
Serás mío para eternidad

[Interludio]
Eternidad

[Coro]
Te daré diamantes, te ahogo con crema
Serás mío para eternidad
El pelo, mis tijeras, caen en tus pies
Serás mío para eternidad"
El Mero Cero,"[Letra de ""El Mero Cero""]

[Verso 1]
No veas, no esperes
No vengas, vas mal
Más bien: compórtate
Tranquilo, sashay, okey, sashay
No bromees, no culpes, ojo loco
No toques, no seas viejo
No seas tan serio, está de moda
Pregunta, no digas
No te rías, sonríe
No tomes trago, eres raro
No tomes foto, aléjate un poco

[Pre-Coro]
Mero cero

[Coro]
Miro adentro, miro adentro, miro adentro (Cero)
Miro adentro, miro adentro, miro adentro
Tus ojos

[Post-Coro]
Uno, dos
Uno, dos

[Verso 2]
No muestres, no falles
Más duro, degrades
No hagas error deshonesto
¿Estás segura?
Necesito cura, una dosis más

[Pre-Coro]
Mero cero (Es como)
Mero cero, yo, yo, yo

[Coro]
Miro adentro, miro adentro, miro adentro (Cero)
Miro adentro, miro adentro, miro adentro (Miro)
Miro adentro, miro adentro, miro adentro (Cero)
Miro adentro, miro adentro, miro adentro
Tus ojos

[Interludio Instrumental]

[Outro]
Mero cero (Mero cero)
Mero cero (Mero cero)
Mero cero (Mero cero)
Mero cero (Mero)"
Tiempos Violentos,"[Letra de ""Tiempos Violentos""]

[Intro]
(Uh)

[Verso 1]
Tiempos violentos
Casi te pierdo en estos tiempos violentos
Gente puede ser tan amable
En estos tiempos violentos
Dinero
Casi perdí todo persiguiéndolo
Sé el precio pero me cuesta creer mis mentiras

[Coro]
Estaba soñando
Caí dentro de un pozo
Despertándome
Despertándome en el infierno

[Verso 2]
Ojos nuevos
Eres la misma, pero tengo ojos nuevos
¿Cómo pude ser tan ciega?
Culpo estos tiempos violentos
Cuando todas las bombas
Dentro de todos los cables
Escondo todas las noches desperdiciadas
Cuando en las cenizas de Pompeya
Hay amantes abrazados
Por toda una eternidad

[Outro]
Estaba soñando
Caí dentro de un pozo
Pero seguro me oías
A través del ruido, los susurros"
Se Fue La Luz,"[Letra de ""Se Fue La Luz""]

[Verso 1]
La mañana en el metro
Empujando corredores
El mensaje en el metro
""Se fue la luz por todo el país""

[Pre-Coro]
""Señoras y señores, tenemos un problema""
Un hombre dijo justo que le dispararon
Y las madres gritan, los niños lloran
No podía creer mis ojos

[Coro]
Se fue la luz
Y nadie nos salvará
Nadie nos salvará ahora
Porque se fue la luz

[Verso 2]
Y en la lluvia como película
Los extraños parecían conocerme
Vaqueros guapos 'tán rezando
Diciendo: ""Yo recuerdo ser feliz""

[Pre-Coro]
""Señoras y señores, se acuerdan de mi sonrisa""
El extraño dijo mientras se tiró de la plataforma
Ciegos vieron la policía llorar
Te juro que no mentiría

[Coro]
Se fue la luz
Y nadie nos salvará
Nadie nos salvará ahora
Se fue la luz
Y nadie nos salvará
Nadie nos salvará ahora
Porque se fue la luz
Y por eso nunca regresé"
La Fruta Mas Dulce,"[Letra de ""La Fruta Más Dulce""]

[Verso 1]
Mi SOPHIE se trepó
Al techo para ver a la luna
Luna
Ay, Dios, un mal paso
La mandó tumbando
Pero por un momento qué vista
Qué vista

[Coro]
Eres una natural
No renuncies
La fruta más dulce
Eres una natural
Sabes que este no es
La fruta más dulce
Está por las ramas

[Verso 2]
Mi Danny tomó un tren
Para ver América
Eso sigue, sigue, sigue, sigue, sigue

[Coro]
Eres una natural
No renuncies
La fruta más dulce
Eres una natural
Sabes que este no es
La fruta más dulce
Está por las ramas

[Interludio Instrumental]

[Coro]
Eres una natural
No renuncies
La fruta más dulce
Eres una natural
Sabes que еste no es
La fruta más dulce
Erеs una natural
No renuncies
La fruta más dulce"
Tantos Planetas,"[Letra de ""Tantos Planetas""]

[Verso 1]
Químicos fallando e ideas de terror
Revolución, no me gusta
No estoy de moda y aquí viene Dios
Dejo promesas como bombas, pero calma

[Pre-Coro]
Dentro de mi mente (Ah-ah)
Viendo mi vida pasar
Lavabo lleno rojo (Ah-ah)
Pero no lo pararé

[Coro]
Tengo que ir a los planetas
Hasta que encuentre el mío
Dormida en carretera dorada
Antes de encontrarla

[Verso 2]
Rompecorazones con unas cervezas (Ah-ah)
Asomándose de su ventana
No está sonriendo, pero está feliz
Hacemos lana de su trauma
Ay, mamá

[Pre-Coro]
Dentro de mi mente (Ah-ah)
Viendo mi vida pasar
Me siento enferma (Ah-ah)
Y ya me acostumbré

[Coro]
Tengo que ir a los planetas
Hasta que encuentre el mío
Dormida en carretera dorada
Antes de encontrarla
Antes de encontrarla

[Interludio Instrumental]

[Outro]
La-la-la-la
La-la-la-la
La-la-la-la
La-la
La
La
La"
Todos Nacen Gritando,"[Letra de ""Todos Nacen Gritando""]

[Verso 1]
He escalado nubes y montañas para no sentir el suelo
Me he arrastrado fuera de casas santas y me duele la cabeza
Y me siento como basura en el matadero, pues así, así va
Estoy corriendo, no siento mis pies
No tengo nada, nada me pertenece, oh, eah

[Coro]
Todos nacemos gritando
Todos nacemos gritando

[Post-Coro]
Oh-oh
Oh-oh
Oh-oh

[Verso 2]
Me he metido a brazos abiertos que me atraparon
Corazones robados, no eran míos
Pero yo pago por ellos
Yo era pantomima de mujer moderna
Él se fue antes y me sentía muy mal
Una versión fea de ""Hallelujah""
V

[Coro]
Todos nacemos gritando
Todos nacemos gritando
Todos nacemos gritando
Todos nacemos gritando

[Post-Coro]
Oh-oh
Oh-oh
Oh-oh
Oh-oh
Oh-oh
Oh-oh

[Interludio Instrumental]

[Outro]
Todos nacen gritando
Todos nacen gritando
Todos nacen gritando
Todos nacen gritando
Todos nacen gritando
Todos nacen gritando
Todos nacen gritando
Todos nacen gritando
Todos nacen gritando
Todos nacen gritando
Todos nacen gritando
Todos nacen gritando
Todos nacen gritando
Todos nacen gritando
Todos nacen gritando
Todos nacen gritando"
