Title,Lyrics
El Infierno Está Cerca,"Copa vacía lata con caléndulas Vela quemada, foto clavada en la pared Letras, registros y joyas sobre el suelo Signos de vida, el principio, el principio El principio otra vez Desnuda Y tus promesas cálidas Desnuda Quería todo bajo el cielo Humo de un cigarrillo del Nowhere Inn Vaso de agua con mancha de labial Caja de clavos y espíritu santo Deja el resto pero vuelve por caléndulas El principio, el principio El principio otra vez Desnuda Y tus promesas cálidas Desnuda Quería todo bajo el cielo Regálalo todo, rеgálalo todo Por el mundo entero Rеgálalo todo, regálalo todo Por el mundo entero Regálalo todo, regálalo todo Por el mundo entero Regálalo todo, regálalo todo Por el mundo entero"
Salvaje,"Te miré toda la noche, llegó el amanecer Y los ángeles bajaron y te besaron Salvaje El olor de tu pelo en las cortinas El viento arrasó las ventanas Salvaje, salvaje Y cada parte de ti ahora está dentro de mí No hay vuelta atrás, te respiro Salvaje, salvaje, salvaje El sol de Londres, el aire, un tiro Me estoy desmoronando, desmoronando, madre Salvaje, salvaje, salvaje Y he еstado de luto por ti desde quе te conocí Extraño, ven a mi camino, te comeré Te haré pedazos o me enamoraré Salvaje, salvaje, salvaje Si tu amor fuera una ancla, estoy perdida en el mar Escucho a las sirenas llamando por mí Llamándome a mí, llamándome a mí Llamándome a mí, llamándome a mí Llamándome a mí, llamándome a mí Llamándome a mí, llamándome a mí"
Hombre Roto,"En la calle soy un gran asesino Puedo hacer caer tu reino De pie soy terremoto temblando Ábrete, mi pequeño ¿Qué estás mirando? ¿Quién crees que soy? ¿Y qué estás mirando? ¿Has visto un hombre roto? Amor, clávate a mí Si te vas, no estaré bien Aquí estoy, con mis brazos abiertos Pero tú tienes que clavar el clavo ¿Qué estás mirando? ¿Quién crees que soy? ¿Y qué estás mirando? ¿Has visto un hombre roto? ¿Y cómo me ves ahora? Me rompiste en pedacitos ¿Y cómo me ves ahora? Si ya no me vuelvo loca Si no me vuelvo loca ¿Quién crees que soy? ¿Has visto un hombre roto? ¿Has visto un hombre roto? ¿Has visto un hombre roto? Hey, hey, hey ¿Quién crees que soy? ¿Has visto un hombre roto? ¿Quién crees que soy? ¿Has visto un hombre roto? ¿Qué estás mirando? ¿Qué estás mirando? ¿Qué estás mirando? Hey, hey, hey ¿Qué estás mirando? ¿Qué estás mirando? ¿Qué estás mirando? Hey, hey, hey"
Pulga,"Soy una pequeña pulga ya Saltando sobre un cuerpo cálido Empiezas a picar, rascar, gritar Ya dentro no te librarás de mí Ya dentro no te librarás de mí Te daré diamantes, te ahogo con crema Serás mío para eternidad El pelo, mis tijeras, caen en tus pies Serás mío para eternidad Pasando por una calle soleada Pensando en tus cuentas o en qué comer Sentirás el pinchazo de mí Te miro y solo veo carne Te daré diamantes, te ahogo con crema Serás mío para eternidad Te daré porcelana, leche para tu té Serás mío para eternidad Eternidad Te daré diamantes, te ahogo con crema Serás mío para eternidad El pelo, mis tijeras, caen en tus pies Serás mío para eternidad"
El Mero Cero,"No veas, no esperes No vengas, vas mal Más bien: compórtate Tranquilo, sashay, okey, sashay No bromees, no culpes, ojo loco No toques, no seas viejo No seas tan serio, está de moda Pregunta, no digas No te rías, sonríe No tomes trago, eres raro No tomes foto, aléjate un poco Mero cero Miro adentro, miro adentro, miro adentro Miro adentro, miro adentro, miro adentro Tus ojos Uno, dos Uno, dos No muestres, no falles Más duro, degrades No hagas error deshonesto ¿Estás segura? Necesito cura, una dosis más Mero cero Mero cero, yo, yo, yo Miro adentro, miro adentro, miro adentro Miro adentro, miro adentro, miro adentro Miro adentro, miro adentro, miro adentro Miro adentro, miro adentro, miro adentro Tus ojos Mero cero Mero cero Mero cero Mero cero"
Tiempos Violentos,"Tiempos violentos Casi te pierdo en estos tiempos violentos Gente puede ser tan amable En estos tiempos violentos Dinero Casi perdí todo persiguiéndolo Sé el precio pero me cuesta creer mis mentiras Estaba soñando Caí dentro de un pozo Despertándome Despertándome en el infierno Ojos nuevos Eres la misma, pero tengo ojos nuevos ¿Cómo pude ser tan ciega? Culpo estos tiempos violentos Cuando todas las bombas Dentro de todos los cables Escondo todas las noches desperdiciadas Cuando en las cenizas de Pompeya Hay amantes abrazados Por toda una eternidad Estaba soñando Caí dentro de un pozo Pero seguro me oías A través del ruido, los susurros"
Se Fue La Luz,"La mañana en el metro Empujando corredores El mensaje en el metro ""Se fue la luz por todo el país"" ""Señoras y señores, tenemos un problema"" Un hombre dijo justo que le dispararon Y las madres gritan, los niños lloran No podía creer mis ojos Se fue la luz Y nadie nos salvará Nadie nos salvará ahora Porque se fue la luz Y en la lluvia como película Los extraños parecían conocerme Vaqueros guapos 'tán rezando Diciendo: ""Yo recuerdo ser feliz"" ""Señoras y señores, se acuerdan de mi sonrisa"" El extraño dijo mientras se tiró de la plataforma Ciegos vieron la policía llorar Te juro que no mentiría Se fue la luz Y nadie nos salvará Nadie nos salvará ahora Se fue la luz Y nadie nos salvará Nadie nos salvará ahora Porque se fue la luz Y por eso nunca regresé"
La Fruta Mas Dulce,"Mi SOPHIE se trepó Al techo para ver a la luna Luna Ay, Dios, un mal paso La mandó tumbando Pero por un momento qué vista Qué vista Eres una natural No renuncies La fruta más dulce Eres una natural Sabes que este no es La fruta más dulce Está por las ramas Mi Danny tomó un tren Para ver América Eso sigue, sigue, sigue, sigue, sigue Eres una natural No renuncies La fruta más dulce Eres una natural Sabes que este no es La fruta más dulce Está por las ramas Eres una natural No renuncies La fruta más dulce Eres una natural Sabes que еste no es La fruta más dulce Erеs una natural No renuncies La fruta más dulce"
Tantos Planetas,"Químicos fallando e ideas de terror Revolución, no me gusta No estoy de moda y aquí viene Dios Dejo promesas como bombas, pero calma Dentro de mi mente Viendo mi vida pasar Lavabo lleno rojo Pero no lo pararé Tengo que ir a los planetas Hasta que encuentre el mío Dormida en carretera dorada Antes de encontrarla Rompecorazones con unas cervezas Asomándose de su ventana No está sonriendo, pero está feliz Hacemos lana de su trauma Ay, mamá Dentro de mi mente Viendo mi vida pasar Me siento enferma Y ya me acostumbré Tengo que ir a los planetas Hasta que encuentre el mío Dormida en carretera dorada Antes de encontrarla Antes de encontrarla La-la-la-la La-la-la-la La-la-la-la La-la La La La"
Todos Nacen Gritando,"He escalado nubes y montañas para no sentir el suelo Me he arrastrado fuera de casas santas y me duele la cabeza Y me siento como basura en el matadero, pues así, así va Estoy corriendo, no siento mis pies No tengo nada, nada me pertenece, oh, eah Todos nacemos gritando Todos nacemos gritando Oh-oh Oh-oh Oh-oh Me he metido a brazos abiertos que me atraparon Corazones robados, no eran míos Pero yo pago por ellos Yo era pantomima de mujer moderna Él se fue antes y me sentía muy mal Una versión fea de ""Hallelujah"" V Todos nacemos gritando Todos nacemos gritando Todos nacemos gritando Todos nacemos gritando Oh-oh Oh-oh Oh-oh Oh-oh Oh-oh Oh-oh Todos nacen gritando Todos nacen gritando Todos nacen gritando Todos nacen gritando Todos nacen gritando Todos nacen gritando Todos nacen gritando Todos nacen gritando Todos nacen gritando Todos nacen gritando Todos nacen gritando Todos nacen gritando Todos nacen gritando Todos nacen gritando Todos nacen gritando Todos nacen gritando"
